Publication_Office_Code,Original_Publication_Office_Code,Publication_Number,Document_Kind_Code,Publication_Date,Application_Number,Filing_Date,Invention_Title,File_Name
CZ,CZ,33849,U1,2020-03-10,2019-37084,2019-12-30,Palivová tyč s vyhořívajícím absorbátorem,OPENDATAST96_PT_CZ_DIFF_PUV2019-37084.xml
CZ,CZ,33787,U1,2020-02-25,2019-37088,2019-12-30,Zařízení na tvarování těsnicích prvků kompozitního charakteru pro instalace v hydrogeologických objektech,OPENDATAST96_PT_CZ_DIFF_PUV2019-37088.xml
CZ,CZ,33906,U1,2020-04-07,2019-37089,2019-12-30,Stolní matematická hra,OPENDATAST96_PT_CZ_DIFF_PUV2019-37089.xml
CZ,CZ,33807,U1,2020-02-27,2019-37090,2019-12-30,Tisková hlava pro zařízení k 3D tisku,OPENDATAST96_PT_CZ_DIFF_PUV2019-37090.xml
CZ,CZ,33691,U1,2020-02-04,2019-37091,2019-12-30,Sestava plazmového obloukového hořáku s kontaktním startem,OPENDATAST96_PT_CZ_DIFF_PUV2019-37091.xml
CZ,CZ,35037,U1,2021-05-04,2019-37092,2019-12-30,Zařízení pro likvidaci kůrovce a jeho stadií ve vířivém vzduchu s ohřevem v likvidační komoře,OPENDATAST96_PT_CZ_DIFF_PUV2019-37092.xml
CZ,CZ,33788,U1,2020-02-25,2019-37093,2019-12-30,"Zařízení pro sledování, vyhodnocování a podporu procesu rehabilitace, zejména pro použití v domácím prostředí",OPENDATAST96_PT_CZ_DIFF_PUV2019-37093.xml
CZ,CZ,33614,U1,2020-01-21,2019-37094,2019-12-31,Servisní klíč výdejního stojanu pohonných hmot,OPENDATAST96_PT_CZ_DIFF_PUV2019-37094.xml
CZ,CZ,33615,U1,2020-01-21,2019-37095,2019-12-31,Systém řízení a povolování výdeje pohonných hmot na výdejním stojanu,OPENDATAST96_PT_CZ_DIFF_PUV2019-37095.xml
CZ,CZ,33931,U1,2020-04-28,2019-37097,2019-12-31,Zařízení pro obrábění boků zubů,OPENDATAST96_PT_CZ_DIFF_PUV2019-37097.xml
CZ,CZ,33850,U1,2020-03-10,2019-37098,2019-12-31,Komínový nástavec pro regulaci tahu komína,OPENDATAST96_PT_CZ_DIFF_PUV2019-37098.xml
CZ,CZ,34071,U1,2020-06-09,2019-37100,2019-12-31,Telemedicínský systém pro podporu léčby hypertenze,OPENDATAST96_PT_CZ_DIFF_PUV2019-37100.xml
CZ,CZ,33932,U1,2020-04-28,2019-37101,2019-12-31,Přístroj pro odstraňování komponent z desek plošných spojů,OPENDATAST96_PT_CZ_DIFF_PUV2019-37101.xml
CZ,CZ,33866,U1,2020-03-17,2019-37102,2019-12-31,Bezpečnostní monitorovací systém zejména pro seniory,OPENDATAST96_PT_CZ_DIFF_PUV2019-37102.xml
CZ,CZ,34492,U1,2020-11-03,2019-37103,2019-12-31,Systém monitorující vitální funkce diabetiků pro diagnostiku a předpověď zdraví či život ohrožujících situací,OPENDATAST96_PT_CZ_DIFF_PUV2019-37103.xml
CZ,CZ,33789,U1,2020-02-25,2020-37104,2020-01-02,Zařízení k úspornému splachování toalet,OPENDATAST96_PT_CZ_DIFF_PUV2020-37104.xml
CZ,CZ,33867,U1,2020-03-17,2020-37105,2020-01-03,Kreslicí káča,OPENDATAST96_PT_CZ_DIFF_PUV2020-37105.xml
CZ,CZ,33880,U1,2020-03-24,2020-37108,2020-01-06,Kamera pro sledování objektů s optickým přenosem a napájením,OPENDATAST96_PT_CZ_DIFF_PUV2020-37108.xml
CZ,IB,33790,U1,2020-02-25,2020-37109,2017-08-15,Zařízení na kostní extrakci,OPENDATAST96_PT_CZ_DIFF_PUV2020-37109.xml
CZ,CZ,33808,U1,2020-02-27,2020-37110,2020-01-07,Zařízení pro stanovení akustických vlastností stavebních materiálů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37110.xml
CZ,CZ,34493,U1,2020-11-03,2020-37111,2020-01-08,Modulární systém konstrukce koše pro tříděný odpad,OPENDATAST96_PT_CZ_DIFF_PUV2020-37111.xml
CZ,CZ,34165,U1,2020-07-07,2020-37112,2020-01-09,3D tištěné jádro sendvičového panelu s integrovanými spojovacími prvky,OPENDATAST96_PT_CZ_DIFF_PUV2020-37112.xml
CZ,CZ,34166,U1,2020-07-07,2020-37113,2020-01-09,Přípravek pro hydrofobizaci geopolymerních kompozitů a geopolymerní pěny,OPENDATAST96_PT_CZ_DIFF_PUV2020-37113.xml
CZ,CZ,33990,U1,2020-05-19,2020-37114,2020-01-09,Spoj součástky z pevného homogenního materiálu rotačního průřezu s vláknovým kompozitem,OPENDATAST96_PT_CZ_DIFF_PUV2020-37114.xml
CZ,CZ,34115,U1,2020-06-23,2020-37115,2020-01-09,Vložka pro zavádění sil do sendvičových panelů vyrobená 3D tiskem,OPENDATAST96_PT_CZ_DIFF_PUV2020-37115.xml
CZ,CZ,33967,U1,2020-05-12,2020-37116,2020-01-09,Spárovací hmota s využitím nebezpečných odpadů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37116.xml
CZ,CZ,33638,U1,2020-01-28,2020-37117,2020-01-09,Elektronické počítadlo výdejního stojanu pohonných hmot,OPENDATAST96_PT_CZ_DIFF_PUV2020-37117.xml
CZ,CZ,35830,U1,2022-03-07,2020-37118,2020-01-09,Magnetický upínací mechanismus,OPENDATAST96_PT_CZ_DIFF_PUV2020-37118.xml
CZ,CZ,33809,U1,2020-02-27,2020-37119,2020-01-09,Pasivní zaměřovač pro zabezpečení a zvýšení přesnosti ADS-B/MLAT systémů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37119.xml
CZ,CZ,33810,U1,2020-02-27,2020-37120,2020-01-09,Nástroj na vytažení zabodnutého tělesa ve tvaru šípu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37120.xml
CZ,CZ,33811,U1,2020-02-27,2020-37122,2020-01-10,Zařízení pro předepínání ložisek přídavných vysokootáčkových vřeten obráběcích strojů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37122.xml
CZ,CZ,33812,U1,2020-02-27,2020-37123,2020-01-11,Nikl-wolframový katalyzátor na bázi kyselinou modifikovaného znělce,OPENDATAST96_PT_CZ_DIFF_PUV2020-37123.xml
CZ,CZ,33813,U1,2020-02-27,2020-37124,2020-01-11,Zajišťovací prostředek,OPENDATAST96_PT_CZ_DIFF_PUV2020-37124.xml
CZ,CZ,33814,U1,2020-02-27,2020-37125,2020-01-13,Modulární gama kamera a sestava modulárních gama kamer,OPENDATAST96_PT_CZ_DIFF_PUV2020-37125.xml
CZ,CZ,33815,U1,2020-02-27,2020-37126,2020-01-14,Betonové svodidlo,OPENDATAST96_PT_CZ_DIFF_PUV2020-37126.xml
CZ,CZ,33914,U1,2020-04-14,2020-37127,2020-01-14,Pěstební procesor pro zalesňování,OPENDATAST96_PT_CZ_DIFF_PUV2020-37127.xml
CZ,SK,33920,U1,2020-04-21,2020-37128,2020-01-14,Souprava rychlospojky,OPENDATAST96_PT_CZ_DIFF_PUV2020-37128.xml
CZ,CZ,35690,U1,2021-12-28,2020-37129,2020-01-14,Medomet s přímým elektrickým pohonem,OPENDATAST96_PT_CZ_DIFF_PUV2020-37129.xml
CZ,CZ,33816,U1,2020-02-27,2020-37130,2020-01-14,Vodicí pouzdro,OPENDATAST96_PT_CZ_DIFF_PUV2020-37130.xml
CZ,CZ,33851,U1,2020-03-10,2020-37131,2020-01-14,Nikl-wolframový katalyzátor na nosiči Y zeolitu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37131.xml
CZ,CZ,33868,U1,2020-03-17,2020-37133,2020-01-15,Izolační deska se zámkem,OPENDATAST96_PT_CZ_DIFF_PUV2020-37133.xml
CZ,CZ,34334,U1,2020-09-01,2020-37134,2020-01-15,Montážní prvek s integrovanou funkcí zvukové izolace pro zabudování koncových částí rozvodů vody do konstrukcí budov,OPENDATAST96_PT_CZ_DIFF_PUV2020-37134.xml
CZ,CZ,33852,U1,2020-03-10,2020-37135,2020-01-15,Zařízení pro opakované spojování a rozpojování potrubí,OPENDATAST96_PT_CZ_DIFF_PUV2020-37135.xml
CZ,CZ,33727,U1,2020-02-18,2020-37136,2020-01-16,Holografický bezpečnostní prvek,OPENDATAST96_PT_CZ_DIFF_PUV2020-37136.xml
CZ,CZ,33915,U1,2020-04-14,2020-37137,2020-01-16,Polymerní směs na výrobu profilů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37137.xml
CZ,CZ,33933,U1,2020-04-28,2020-37138,2020-01-16,Akustický panel zejména pro protihlukové stěny u dopravních staveb,OPENDATAST96_PT_CZ_DIFF_PUV2020-37138.xml
CZ,CZ,34020,U1,2020-05-26,2020-37139,2020-01-16,"Skládaná opěrná zeď, zejména pro protihlukové stěny u dopravních staveb",OPENDATAST96_PT_CZ_DIFF_PUV2020-37139.xml
CZ,CZ,34374,U1,2020-09-15,2020-37140,2020-01-17,Navíjedlo na plastové tuby,OPENDATAST96_PT_CZ_DIFF_PUV2020-37140.xml
CZ,CZ,33934,U1,2020-04-28,2020-37142,2020-01-17,Stolní hra tenis,OPENDATAST96_PT_CZ_DIFF_PUV2020-37142.xml
CZ,DE,34450,U1,2020-10-13,2020-37143,2016-12-06,Šlichta pro nanesení na porézní povrch forem a/nebo jader pro odlévání kovů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37143.xml
CZ,CZ,34787,U1,2021-01-26,2020-37144,2020-01-17,Integrovaná soustava pro dálkový odečet spotřeby kapalin či plynů s bezpečnostním ovládáním přívodu těchto médií,OPENDATAST96_PT_CZ_DIFF_PUV2020-37144.xml
CZ,CZ,33881,U1,2020-03-24,2020-37146,2020-01-20,Těsná komínová redukce,OPENDATAST96_PT_CZ_DIFF_PUV2020-37146.xml
CZ,CZ,33817,U1,2020-02-27,2020-37147,2020-01-20,"Zařízení pro indikaci stavu ruční brzdy, zejména nákladních kolejových vozidel",OPENDATAST96_PT_CZ_DIFF_PUV2020-37147.xml
CZ,CZ,33818,U1,2020-02-27,2020-37148,2020-01-21,Prosvětlený zámek bezpečnostního pásu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37148.xml
CZ,CZ,33853,U1,2020-03-10,2020-37149,2020-01-21,Zařízení pro roztahování a převracení vozidel,OPENDATAST96_PT_CZ_DIFF_PUV2020-37149.xml
CZ,CZ,33728,U1,2020-02-18,2020-37150,2020-01-21,Vodicí mechanismus pro realizaci nárazových zkoušek vozidlo – chodec a na testování aktivní a pasivní bezpečnosti vozidel,OPENDATAST96_PT_CZ_DIFF_PUV2020-37150.xml
CZ,CZ,33869,U1,2020-03-17,2020-37151,2020-01-21,Recepční systém,OPENDATAST96_PT_CZ_DIFF_PUV2020-37151.xml
CZ,CZ,33916,U1,2020-04-14,2020-37152,2020-01-21,Kultivační komora pro tlakovou stimulaci v kultivačních jamkách,OPENDATAST96_PT_CZ_DIFF_PUV2020-37152.xml
CZ,CZ,33991,U1,2020-05-19,2020-37154,2020-01-22,Zařízení pro zajištění stability přenosných fotbalových branek,OPENDATAST96_PT_CZ_DIFF_PUV2020-37154.xml
CZ,CZ,34205,U1,2020-07-14,2020-37155,2020-01-22,Zařízení pro rychlé spojení a rozpojení optických a/nebo elektrických konektorů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37155.xml
CZ,CZ,33819,U1,2020-02-27,2020-37156,2020-01-23,Kompozitní materiál na silikátové bázi pro kotvení mobilního typu vodního vleku,OPENDATAST96_PT_CZ_DIFF_PUV2020-37156.xml
CZ,CZ,34066,U1,2020-06-09,2020-37157,2020-01-23,Bezprimerový nátěrový protikorozní přípravek s obsahem druhotných surovin,OPENDATAST96_PT_CZ_DIFF_PUV2020-37157.xml
CZ,CZ,33891,U1,2020-03-31,2020-37158,2020-01-23,Elastický chránič kloubu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37158.xml
CZ,CZ,33854,U1,2020-03-10,2020-37159,2020-01-23,Nábytkový díl a nábytek obsahující tento díl,OPENDATAST96_PT_CZ_DIFF_PUV2020-37159.xml
CZ,CZ,33870,U1,2020-03-17,2020-37160,2020-01-23,Závěs sedátka toalety,OPENDATAST96_PT_CZ_DIFF_PUV2020-37160.xml
CZ,CZ,33729,U1,2020-02-18,2020-37161,2020-01-23,Vertikální výměník tepla se spirálovitými přepážkami,OPENDATAST96_PT_CZ_DIFF_PUV2020-37161.xml
CZ,CZ,34664,U1,2020-12-15,2020-37162,2020-01-23,Ochranný a dekorativní kryt elektrické robotické sekačky na trávu a robotická sekačka s tímto krytem,OPENDATAST96_PT_CZ_DIFF_PUV2020-37162.xml
CZ,CZ,33820,U1,2020-02-27,2020-37163,2019-03-20,Kompresor,OPENDATAST96_PT_CZ_DIFF_PUV2020-37163.xml
CZ,CZ,34231,U1,2020-07-28,2020-37164,2020-01-24,Výrobek z textilního vlákna opatřený ochranou proti hmyzu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37164.xml
CZ,CZ,33821,U1,2020-02-27,2020-37165,2020-01-24,Délkově nastavitelný spojovací můstek obrub očnic brýlí,OPENDATAST96_PT_CZ_DIFF_PUV2020-37165.xml
CZ,CZ,33730,U1,2020-02-18,2020-37167,2020-01-24,Zápustka pro výkovky z AHSS ocelí,OPENDATAST96_PT_CZ_DIFF_PUV2020-37167.xml
CZ,CZ,33731,U1,2020-02-18,2020-37168,2020-01-24,Multifunkční upínací zařízení pro termomechanické modelování vývoje struktury AHSS ocelí,OPENDATAST96_PT_CZ_DIFF_PUV2020-37168.xml
CZ,CZ,33882,U1,2020-03-24,2020-37169,2020-01-24,Systém pro nastavení sklonu opěrné patky splitboardového a snowboardového vázání,OPENDATAST96_PT_CZ_DIFF_PUV2020-37169.xml
CZ,CZ,33858,U1,2020-03-11,2020-37170,2020-01-27,Demonstrátor internetu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37170.xml
CZ,CZ,33871,U1,2020-03-17,2020-37171,2020-01-27,Pohon hnětačů zmáselňovače,OPENDATAST96_PT_CZ_DIFF_PUV2020-37171.xml
CZ,CZ,33822,U1,2020-02-27,2020-37172,2020-01-27,"Zařízení pro indikaci stavu ruční brzdy zejména nákladních kolejových vozidel a k indikaci síly, kterou je ruční brzda utažena",OPENDATAST96_PT_CZ_DIFF_PUV2020-37172.xml
CZ,CZ,33823,U1,2020-02-27,2020-37173,2020-01-27,Řídicí systém pro dávkování maziva a/nebo modifikátoru tření na temeno kolejnice,OPENDATAST96_PT_CZ_DIFF_PUV2020-37173.xml
CZ,CZ,33824,U1,2020-02-27,2020-37174,2020-01-27,Vak na hašení požárů ze vzduchu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37174.xml
CZ,CZ,33872,U1,2020-03-17,2020-37175,2020-01-28,Časoměrné zařízení,OPENDATAST96_PT_CZ_DIFF_PUV2020-37175.xml
CZ,CZ,33873,U1,2020-03-17,2020-37177,2020-01-28,Podlahový profil pro dělící prosklené interiérové příčky a interiérová příčka jej obsahující,OPENDATAST96_PT_CZ_DIFF_PUV2020-37177.xml
CZ,CZ,34116,U1,2020-06-23,2020-37178,2020-01-28,Nanovlákenná struktura se zvýšenou povrchovou funkčností a s imobilizovanými organickými agens,OPENDATAST96_PT_CZ_DIFF_PUV2020-37178.xml
CZ,CZ,34232,U1,2020-07-28,2020-37179,2020-01-28,Samolepicí štítek pro ochranu dat v papírových dokumentech,OPENDATAST96_PT_CZ_DIFF_PUV2020-37179.xml
CZ,CZ,33874,U1,2020-03-17,2020-37180,2020-01-28,Dávkovací obal na přípravky krémovité a pastovité konzistence,OPENDATAST96_PT_CZ_DIFF_PUV2020-37180.xml
CZ,CZ,33855,U1,2020-03-10,2020-37182,2020-01-29,Dekorativní díl a interiérový prvek obsahující tento díl,OPENDATAST96_PT_CZ_DIFF_PUV2020-37182.xml
CZ,CZ,35756,U1,2022-02-03,2020-37183,2020-01-29,"Zařízení pro bezdrátové napájení, nabíjení a přenos informací",OPENDATAST96_PT_CZ_DIFF_PUV2020-37183.xml
CZ,CZ,33992,U1,2020-05-19,2020-37184,2020-01-29,Zařízení pro laboratorní simulaci pádů břemen na dopravní pás,OPENDATAST96_PT_CZ_DIFF_PUV2020-37184.xml
CZ,CZ,33935,U1,2020-04-28,2020-37185,2019-11-30,Zubový kompresor s novým způsobem komprese,OPENDATAST96_PT_CZ_DIFF_PUV2020-37185.xml
CZ,CZ,33936,U1,2020-04-28,2020-37186,2019-11-30,Šroubový kompresor s novým způsobem komprese,OPENDATAST96_PT_CZ_DIFF_PUV2020-37186.xml
CZ,CZ,33993,U1,2020-05-19,2020-37187,2020-01-29,Automatický redistributor vzduchu pro vzduchotechnické jednotky,OPENDATAST96_PT_CZ_DIFF_PUV2020-37187.xml
CZ,CZ,34261,U1,2020-08-11,2020-37188,2020-01-30,Závěsný systém vzduchotechnických filtrů pro upevnění filtrační textilie,OPENDATAST96_PT_CZ_DIFF_PUV2020-37188.xml
CZ,CZ,33877,U1,2020-03-24,2020-37191,2020-01-30,Suchá směs pro briketu na bázi karbidu křemíku,OPENDATAST96_PT_CZ_DIFF_PUV2020-37191.xml
CZ,CZ,33917,U1,2020-04-14,2020-37192,2020-01-30,Mikroperfuzní systém s tlakovou stimulací pro sterilní dynamickou kultivaci buněk,OPENDATAST96_PT_CZ_DIFF_PUV2020-37192.xml
CZ,CZ,34223,U1,2020-07-21,2020-37193,2020-01-30,Výklopná podlaha,OPENDATAST96_PT_CZ_DIFF_PUV2020-37193.xml
CZ,CZ,34375,U1,2020-09-15,2020-37194,2020-01-30,Černý česnek s antioxidační aktivitou,OPENDATAST96_PT_CZ_DIFF_PUV2020-37194.xml
CZ,CZ,35001,U1,2021-04-20,2020-37195,2020-01-30,Přírubový kompenzační spoj hydraulického potrubí pro kompenzaci v axiálním směru,OPENDATAST96_PT_CZ_DIFF_PUV2020-37195.xml
CZ,CZ,35002,U1,2021-04-20,2020-37197,2020-01-30,Přírubový kompenzační spoj hydraulického potrubí pro kompenzaci v radiálním směru,OPENDATAST96_PT_CZ_DIFF_PUV2020-37197.xml
CZ,CZ,34376,U1,2020-09-15,2020-37198,2020-01-31,"Pracovní oděv s ústrojím pro měření fyzikálních veličin, zejména teploty a vlhkosti",OPENDATAST96_PT_CZ_DIFF_PUV2020-37198.xml
CZ,CZ,34117,U1,2020-06-23,2020-37200,2020-01-31,"Zařízení pro dehalogenační detoxikaci a destrukci látek, tvořených halogenovanými aromatickými a/nebo cyklickými sloučeninami typu perzistentních organických látek",OPENDATAST96_PT_CZ_DIFF_PUV2020-37200.xml
CZ,CZ,34999,U1,2021-04-20,2020-37201,2020-01-31,Zařízení pro separaci složek vzorků,OPENDATAST96_PT_CZ_DIFF_PUV2020-37201.xml
CZ,CZ,33921,U1,2020-04-21,2020-37204,2020-02-03,Sekáček závitu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37204.xml
CZ,CZ,34047,U1,2020-06-01,2020-37205,2020-02-03,Opakovač mobilní sítě s indukčním napájením,OPENDATAST96_PT_CZ_DIFF_PUV2020-37205.xml
CZ,CZ,33892,U1,2020-03-31,2020-37206,2020-02-03,Zařízení pro absorpci kinetické energie lidského těla,OPENDATAST96_PT_CZ_DIFF_PUV2020-37206.xml
CZ,CZ,33825,U1,2020-02-27,2020-37207,2020-02-04,Propustek kruhového průřezu se svislým vtokovým čelem,OPENDATAST96_PT_CZ_DIFF_PUV2020-37207.xml
CZ,CZ,34118,U1,2020-06-23,2020-37208,2020-02-04,Postřikovací zařízení,OPENDATAST96_PT_CZ_DIFF_PUV2020-37208.xml
CZ,CZ,33994,U1,2020-05-19,2020-37209,2020-02-04,Sušicí zařízení,OPENDATAST96_PT_CZ_DIFF_PUV2020-37209.xml
CZ,CZ,33826,U1,2020-02-27,2020-37212,2020-02-05,Zařízení pro uchování elektrické energie,OPENDATAST96_PT_CZ_DIFF_PUV2020-37212.xml
CZ,CZ,34224,U1,2020-07-21,2020-37213,2020-02-05,Zadešťovací hlava dešťového simulátoru,OPENDATAST96_PT_CZ_DIFF_PUV2020-37213.xml
CZ,CZ,33980,U1,2020-05-19,2020-37216,2020-02-05,"Zkušební těleso pro hodnocení odolnosti vytvrzených maltových materiálů, zejména omítek, proti účinkům chemické a biologické agresivity vnějšího prostředí",OPENDATAST96_PT_CZ_DIFF_PUV2020-37216.xml
CZ,CZ,33827,U1,2020-02-27,2020-37217,2020-02-06,Mřížkový přenosný senzor pro detekci vozidel,OPENDATAST96_PT_CZ_DIFF_PUV2020-37217.xml
CZ,CZ,33883,U1,2020-03-24,2020-37219,2020-02-06,Dynamický nosník židle,OPENDATAST96_PT_CZ_DIFF_PUV2020-37219.xml
CZ,CZ,33875,U1,2020-03-17,2020-37220,2020-02-06,Omítková směs,OPENDATAST96_PT_CZ_DIFF_PUV2020-37220.xml
CZ,CZ,33937,U1,2020-04-28,2020-37221,2020-02-06,Stavební prvek,OPENDATAST96_PT_CZ_DIFF_PUV2020-37221.xml
CZ,CZ,33995,U1,2020-05-19,2020-37222,2020-02-06,Víčko nádržky ostřikovače,OPENDATAST96_PT_CZ_DIFF_PUV2020-37222.xml
CZ,CZ,33918,U1,2020-04-14,2020-37223,2020-02-06,Testovací sada ke stanovení antimikrobiální biologické účinnosti fágových přípravků na bakterii Staphylococcus aureus,OPENDATAST96_PT_CZ_DIFF_PUV2020-37223.xml
CZ,CZ,33828,U1,2020-02-27,2020-37225,2020-02-07,Reakční směs pro identifikaci nulové alely genu pšenice TaSPS_B pomocí PCR,OPENDATAST96_PT_CZ_DIFF_PUV2020-37225.xml
CZ,CZ,33829,U1,2020-02-27,2020-37226,2020-02-07,Reakční směs pro identifikaci nulové alely genu pšenice TaSPS_D pomocí PCR,OPENDATAST96_PT_CZ_DIFF_PUV2020-37226.xml
CZ,CZ,33956,U1,2020-05-05,2020-37228,2020-02-07,Modul mobilního zátarasu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37228.xml
CZ,CZ,34316,U1,2020-08-25,2020-37229,2020-02-07,Zařízení pro rekuperaci s filtrací,OPENDATAST96_PT_CZ_DIFF_PUV2020-37229.xml
CZ,CZ,33968,U1,2020-05-12,2020-37231,2020-02-10,Ochranný kryt hlavy posádek vozidel,OPENDATAST96_PT_CZ_DIFF_PUV2020-37231.xml
CZ,CZ,34233,U1,2020-07-28,2020-37232,2020-02-10,Bezpilotní létající prostředek s indukčním napájením,OPENDATAST96_PT_CZ_DIFF_PUV2020-37232.xml
CZ,CZ,33876,U1,2020-03-17,2020-37234,2020-02-10,Ztracené bednění pro betonový mostní pilíř a mostní pilíř,OPENDATAST96_PT_CZ_DIFF_PUV2020-37234.xml
CZ,CZ,33884,U1,2020-03-24,2020-37235,2020-02-10,"Rybářské krmivo, nástraha nebo návnada s tekutou náplní",OPENDATAST96_PT_CZ_DIFF_PUV2020-37235.xml
CZ,CZ,33907,U1,2020-04-07,2020-37237,2020-02-10,Kosmetický přípravek eliminující podráždění očních víček po aplikaci umělých řas,OPENDATAST96_PT_CZ_DIFF_PUV2020-37237.xml
CZ,CZ,34119,U1,2020-06-23,2020-37238,2020-02-11,Dentální niť s uzlíky,OPENDATAST96_PT_CZ_DIFF_PUV2020-37238.xml
CZ,RU,33885,U1,2020-03-24,2020-37240,2020-02-12,Pouzdro pro přepravu láhve,OPENDATAST96_PT_CZ_DIFF_PUV2020-37240.xml
CZ,CZ,33938,U1,2020-04-28,2020-37241,2020-02-12,Pomůcka pro dělení dřeva,OPENDATAST96_PT_CZ_DIFF_PUV2020-37241.xml
CZ,CZ,33997,U1,2020-05-19,2020-37242,2020-02-12,Pivo chmelené chmelo-sladovým preparátem,OPENDATAST96_PT_CZ_DIFF_PUV2020-37242.xml
CZ,CZ,33856,U1,2020-03-10,2020-37243,2020-02-12,Reakční směs pro hodnocení úspěšnosti hybridizace pomocí mikrosatelitů u Daucus carota L. subsp. sativus,OPENDATAST96_PT_CZ_DIFF_PUV2020-37243.xml
CZ,CZ,33922,U1,2020-04-21,2020-37244,2020-02-13,"Stmelená směs pro podkladní vrstvy vozovek, pohlcující tahová napětí",OPENDATAST96_PT_CZ_DIFF_PUV2020-37244.xml
CZ,CZ,34225,U1,2020-07-21,2020-37246,2020-02-14,Sestava postranice karoserie automobilu v místě uchycení střešního nosiče,OPENDATAST96_PT_CZ_DIFF_PUV2020-37246.xml
CZ,CZ,33939,U1,2020-04-28,2020-37247,2020-02-14,Kotvící patka s možností rektifikace výšky a sklonu hlavy pro zemní vruty,OPENDATAST96_PT_CZ_DIFF_PUV2020-37247.xml
CZ,CZ,34451,U1,2020-10-13,2020-37251,2020-02-17,Modifikovaná membránová filtrační jednotka pro čištění odpadních vod,OPENDATAST96_PT_CZ_DIFF_PUV2020-37251.xml
CZ,CZ,33886,U1,2020-03-24,2020-37253,2019-12-13,Nástrojová jednotka pro vystružování velmi přesných děr,OPENDATAST96_PT_CZ_DIFF_PUV2020-37253.xml
CZ,CZ,34120,U1,2020-06-23,2020-37254,2020-02-18,Hydroizolační tvarovka z fólie na bázi flexibilních termoplastických polyolefinů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37254.xml
CZ,CZ,34206,U1,2020-07-14,2020-37258,2020-02-18,Přípravek do krmné směsi pro březí prasnice a selata pro vybudování a posílení jejich imunitního systému a současné vázání a následné vylučování toxických látek a absorbovaných plynů z gastrointestinálního traktu,OPENDATAST96_PT_CZ_DIFF_PUV2020-37258.xml
CZ,CZ,34555,U1,2020-11-24,2020-37259,2020-02-18,Tlumicí vložka proti nárazu pro přilby,OPENDATAST96_PT_CZ_DIFF_PUV2020-37259.xml
CZ,CZ,33893,U1,2020-03-31,2020-37261,2020-02-19,Modifikované asfaltové pojivo se sírou,OPENDATAST96_PT_CZ_DIFF_PUV2020-37261.xml
CZ,CZ,33998,U1,2020-05-19,2020-37262,2020-02-20,Držák oboustranného svítidla do příhradové konstrukce,OPENDATAST96_PT_CZ_DIFF_PUV2020-37262.xml
CZ,CZ,33894,U1,2020-03-31,2020-37264,2020-02-20,"Prefabrikovaný panel, zejména pro výstavbu letištních ploch a letištní plocha",OPENDATAST96_PT_CZ_DIFF_PUV2020-37264.xml
CZ,CZ,35942,U1,2022-04-19,2020-37265,2020-02-21,Odnímatelné elektricko-magnetické propojení desek plošných spojů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37265.xml
CZ,CZ,33999,U1,2020-05-19,2020-37266,2020-02-21,"Prvek, zejména pochozí venkovní dlažby",OPENDATAST96_PT_CZ_DIFF_PUV2020-37266.xml
CZ,CZ,33919,U1,2020-04-14,2020-37267,2020-02-24,Zařízení pro odběr vzorků z vodních toků,OPENDATAST96_PT_CZ_DIFF_PUV2020-37267.xml
CZ,CZ,34000,U1,2020-05-19,2020-37268,2020-02-24,Komunikační soustava pro individuální potápění,OPENDATAST96_PT_CZ_DIFF_PUV2020-37268.xml
CZ,CZ,34001,U1,2020-05-19,2020-37269,2020-02-24,Navigační přístroj pro navigaci potápěče pod vodou,OPENDATAST96_PT_CZ_DIFF_PUV2020-37269.xml
CZ,CZ,34415,U1,2020-09-29,2020-37270,2020-02-25,Slučovač elektrických signálů,OPENDATAST96_PT_CZ_DIFF_PUV2020-37270.xml
CZ,CZ,33895,U1,2020-03-31,2020-37271,2020-02-25,"Přídavný plotový modul, zejména pro zabránění průniku obojživelníků a drobných hlodavců",OPENDATAST96_PT_CZ_DIFF_PUV2020-37271.xml
CZ,CZ,34002,U1,2020-05-19,2020-37273,2020-02-25,Kolo s integrovanou obručí k invalidnímu vozíku,OPENDATAST96_PT_CZ_DIFF_PUV2020-37273.xml
CZ,CZ,33957,U1,2020-05-05,2020-37274,2020-02-26,Pouzdro elektronického klíče vozidla,OPENDATAST96_PT_CZ_DIFF_PUV2020-37274.xml
