Application_number,Datum,Popis
2015-31338,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31349,21.12.2015,podání přihlášky
2015-31349,21.12.2015,podání žádosti o úplný průzkum
2015-31349,28.06.2017,zveřejnění PV
2015-31349,18.04.2018,publikace udělení patentu
2015-31349,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31408,21.12.2015,podání přihlášky
2015-31408,21.12.2015,podání žádosti o úplný průzkum
2015-31408,28.06.2017,zveřejnění PV
2015-31408,18.04.2018,publikace udělení patentu
2015-31408,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31423,21.12.2015,podání přihlášky
2015-31423,21.12.2015,podání žádosti o úplný průzkum
2015-31423,28.06.2017,zveřejnění PV
2015-31423,18.04.2018,publikace udělení patentu
2015-31423,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31453,21.12.2015,podání přihlášky
2015-31453,21.12.2015,podání žádosti o úplný průzkum
2015-31453,28.06.2017,zveřejnění PV
2015-31453,18.04.2018,publikace udělení patentu
2015-31453,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31475,21.12.2015,podání přihlášky
2015-31475,21.12.2015,podání žádosti o úplný průzkum
2015-31475,28.06.2017,zveřejnění PV
2015-31475,18.04.2018,publikace udělení patentu
2015-31475,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31526,21.12.2015,podání přihlášky
2015-31526,21.12.2015,podání žádosti o úplný průzkum
2015-31526,28.06.2017,zveřejnění PV
2015-31526,18.04.2018,publikace udělení patentu
2015-31526,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31532,21.12.2015,podání přihlášky
2015-31532,21.12.2015,podání žádosti o úplný průzkum
2015-31532,28.06.2017,zveřejnění PV
2015-31532,18.04.2018,publikace udělení patentu
2015-31532,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31563,21.12.2015,podání přihlášky
2015-31563,21.12.2015,podání žádosti o úplný průzkum
2015-31563,28.06.2017,zveřejnění PV
2015-31563,18.04.2018,publikace udělení patentu
2015-31563,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31585,21.12.2015,podání přihlášky
2015-31585,21.12.2015,podání žádosti o úplný průzkum
2015-31585,28.06.2017,zveřejnění PV
2015-31585,18.04.2018,publikace udělení patentu
2015-31585,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31590,21.12.2015,podání přihlášky
2015-31590,21.12.2015,podání žádosti o úplný průzkum
2015-31590,28.06.2017,zveřejnění PV
2015-31590,18.04.2018,publikace udělení patentu
2015-31590,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31601,21.12.2015,podání přihlášky
2015-31601,21.12.2015,podání žádosti o úplný průzkum
2015-31601,28.06.2017,zveřejnění PV
2015-31601,18.04.2018,publikace udělení patentu
2015-31601,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31647,21.12.2015,podání přihlášky
2015-31647,21.12.2015,podání žádosti o úplný průzkum
2015-31647,28.06.2017,zveřejnění PV
2015-31647,18.04.2018,publikace udělení patentu
2015-31647,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31657,21.12.2015,podání přihlášky
2015-31657,21.12.2015,podání žádosti o úplný průzkum
2015-31657,28.06.2017,zveřejnění PV
2015-31657,18.04.2018,publikace udělení patentu
2015-31657,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31678,21.12.2015,podání přihlášky
2015-31678,21.12.2015,podání žádosti o úplný průzkum
2015-31678,28.06.2017,zveřejnění PV
2015-31678,18.04.2018,publikace udělení patentu
2015-31678,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31682,21.12.2015,podání přihlášky
2015-31682,21.12.2015,podání žádosti o úplný průzkum
2015-31682,28.06.2017,zveřejnění PV
2015-31682,18.04.2018,publikace udělení patentu
2015-31682,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31688,21.12.2015,podání přihlášky
2015-31688,21.12.2015,podání žádosti o úplný průzkum
2015-31688,28.06.2017,zveřejnění PV
2015-31688,18.04.2018,publikace udělení patentu
2015-31688,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31756,21.12.2015,podání přihlášky
2015-31756,21.12.2015,podání žádosti o úplný průzkum
2015-31756,28.06.2017,zveřejnění PV
2015-31756,18.04.2018,publikace udělení patentu
2015-31756,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31768,21.12.2015,podání přihlášky
2015-31768,21.12.2015,podání žádosti o úplný průzkum
2015-31768,28.06.2017,zveřejnění PV
2015-31768,18.04.2018,publikace udělení patentu
2015-31768,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31787,21.12.2015,podání přihlášky
2015-31787,21.12.2015,podání žádosti o úplný průzkum
2015-31787,28.06.2017,zveřejnění PV
2015-31787,18.04.2018,publikace udělení patentu
2015-31787,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31808,21.12.2015,podání přihlášky
2015-31808,21.12.2015,podání žádosti o úplný průzkum
2015-31808,28.06.2017,zveřejnění PV
2015-31808,18.04.2018,publikace udělení patentu
2015-31808,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31819,21.12.2015,podání přihlášky
2015-31819,21.12.2015,podání žádosti o úplný průzkum
2015-31819,28.06.2017,zveřejnění PV
2015-31819,18.04.2018,publikace udělení patentu
2015-31819,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31888,21.12.2015,podání přihlášky
2015-31888,21.12.2015,podání žádosti o úplný průzkum
2015-31888,28.06.2017,zveřejnění PV
2015-31888,18.04.2018,publikace udělení patentu
2015-31888,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31892,21.12.2015,podání přihlášky
2015-31892,21.12.2015,podání žádosti o úplný průzkum
2015-31892,28.06.2017,zveřejnění PV
2015-31892,18.04.2018,publikace udělení patentu
2015-31892,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31893,21.12.2015,podání přihlášky
2015-31893,21.12.2015,podání žádosti o úplný průzkum
2015-31893,28.06.2017,zveřejnění PV
2015-31893,18.04.2018,publikace udělení patentu
2015-31893,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31919,21.12.2015,podání přihlášky
2015-31919,21.12.2015,podání žádosti o úplný průzkum
2015-31919,28.06.2017,zveřejnění PV
2015-31919,18.04.2018,publikace udělení patentu
2015-31919,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31960,21.12.2015,podání přihlášky
2015-31960,21.12.2015,podání žádosti o úplný průzkum
2015-31960,28.06.2017,zveřejnění PV
2015-31960,18.04.2018,publikace udělení patentu
2015-31960,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-31996,21.12.2015,podání přihlášky
2016-31996,21.12.2015,podání žádosti o úplný průzkum
2016-31996,28.06.2017,zveřejnění PV
2016-31996,18.04.2018,publikace udělení patentu
2016-31996,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32026,21.12.2015,podání přihlášky
2016-32026,21.12.2015,podání žádosti o úplný průzkum
2016-32026,28.06.2017,zveřejnění PV
2016-32026,18.04.2018,publikace udělení patentu
2016-32026,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32033,21.12.2015,podání přihlášky
2016-32033,21.12.2015,podání žádosti o úplný průzkum
2016-32033,28.06.2017,zveřejnění PV
2016-32033,18.04.2018,publikace udělení patentu
2016-32033,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32174,21.12.2015,podání přihlášky
2016-32174,21.12.2015,podání žádosti o úplný průzkum
2016-32174,28.06.2017,zveřejnění PV
2016-32174,18.04.2018,publikace udělení patentu
2016-32174,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32249,21.12.2015,podání přihlášky
2016-32249,21.12.2015,podání žádosti o úplný průzkum
2016-32249,28.06.2017,zveřejnění PV
2016-32249,18.04.2018,publikace udělení patentu
2016-32249,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32409,21.12.2015,podání přihlášky
2016-32409,21.12.2015,podání žádosti o úplný průzkum
2016-32409,28.06.2017,zveřejnění PV
2016-32409,18.04.2018,publikace udělení patentu
2016-32409,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32410,21.12.2015,podání přihlášky
2016-32410,21.12.2015,podání žádosti o úplný průzkum
2016-32410,28.06.2017,zveřejnění PV
2016-32410,18.04.2018,publikace udělení patentu
2016-32410,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32478,21.12.2015,podání přihlášky
2016-32478,21.12.2015,podání žádosti o úplný průzkum
2016-32478,28.06.2017,zveřejnění PV
2016-32478,18.04.2018,publikace udělení patentu
2016-32478,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32479,21.12.2015,podání přihlášky
2016-32479,21.12.2015,podání žádosti o úplný průzkum
2016-32479,28.06.2017,zveřejnění PV
2016-32479,18.04.2018,publikace udělení patentu
2016-32479,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32480,21.12.2015,podání přihlášky
2016-32480,21.12.2015,podání žádosti o úplný průzkum
2016-32480,28.06.2017,zveřejnění PV
2016-32480,18.04.2018,publikace udělení patentu
2016-32480,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32481,21.12.2015,podání přihlášky
2016-32481,21.12.2015,podání žádosti o úplný průzkum
2016-32481,28.06.2017,zveřejnění PV
2016-32481,18.04.2018,publikace udělení patentu
2016-32481,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32590,21.12.2015,podání přihlášky
2016-32590,21.12.2015,podání žádosti o úplný průzkum
2016-32590,28.06.2017,zveřejnění PV
2016-32590,18.04.2018,publikace udělení patentu
2016-32590,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32591,21.12.2015,podání přihlášky
2016-32591,21.12.2015,podání žádosti o úplný průzkum
2016-32591,28.06.2017,zveřejnění PV
2016-32591,18.04.2018,publikace udělení patentu
2016-32591,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32664,21.12.2015,podání přihlášky
2016-32664,21.12.2015,podání žádosti o úplný průzkum
2016-32664,28.06.2017,zveřejnění PV
2016-32664,18.04.2018,publikace udělení patentu
2016-32664,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32665,21.12.2015,podání přihlášky
2016-32665,21.12.2015,podání žádosti o úplný průzkum
2016-32665,28.06.2017,zveřejnění PV
2016-32665,18.04.2018,publikace udělení patentu
2016-32665,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32666,21.12.2015,podání přihlášky
2016-32666,21.12.2015,podání žádosti o úplný průzkum
2016-32666,28.06.2017,zveřejnění PV
2016-32666,18.04.2018,publikace udělení patentu
2016-32666,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32667,21.12.2015,podání přihlášky
2016-32667,21.12.2015,podání žádosti o úplný průzkum
2016-32667,28.06.2017,zveřejnění PV
2016-32667,18.04.2018,publikace udělení patentu
2016-32667,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32668,21.12.2015,podání přihlášky
2016-32668,21.12.2015,podání žádosti o úplný průzkum
2016-32668,28.06.2017,zveřejnění PV
2016-32668,18.04.2018,publikace udělení patentu
2016-32668,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32669,21.12.2015,podání přihlášky
2016-32669,21.12.2015,podání žádosti o úplný průzkum
2016-32669,28.06.2017,zveřejnění PV
2016-32669,18.04.2018,publikace udělení patentu
2016-32669,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32670,21.12.2015,podání přihlášky
2016-32670,21.12.2015,podání žádosti o úplný průzkum
2016-32670,28.06.2017,zveřejnění PV
2016-32670,18.04.2018,publikace udělení patentu
2016-32670,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32671,21.12.2015,podání přihlášky
2016-32671,21.12.2015,podání žádosti o úplný průzkum
2016-32671,28.06.2017,zveřejnění PV
2016-32671,18.04.2018,publikace udělení patentu
2016-32671,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32718,21.12.2015,podání přihlášky
2016-32718,21.12.2015,podání žádosti o úplný průzkum
2016-32718,28.06.2017,zveřejnění PV
2016-32718,18.04.2018,publikace udělení patentu
2016-32718,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32769,21.12.2015,podání přihlášky
2016-32769,21.12.2015,podání žádosti o úplný průzkum
2016-32769,28.06.2017,zveřejnění PV
2016-32769,18.04.2018,publikace udělení patentu
2016-32769,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32792,21.12.2015,podání přihlášky
2016-32792,21.12.2015,podání žádosti o úplný průzkum
2016-32792,28.06.2017,zveřejnění PV
2016-32792,18.04.2018,publikace udělení patentu
2016-32792,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32826,21.12.2015,podání přihlášky
2016-32826,21.12.2015,podání žádosti o úplný průzkum
2016-32826,28.06.2017,zveřejnění PV
2016-32826,18.04.2018,publikace udělení patentu
2016-32826,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32852,21.12.2015,podání přihlášky
2016-32852,21.12.2015,podání žádosti o úplný průzkum
2016-32852,28.06.2017,zveřejnění PV
2016-32852,18.04.2018,publikace udělení patentu
2016-32852,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32859,21.12.2015,podání přihlášky
2016-32859,21.12.2015,podání žádosti o úplný průzkum
2016-32859,28.06.2017,zveřejnění PV
2016-32859,18.04.2018,publikace udělení patentu
2016-32859,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32929,21.12.2015,podání přihlášky
2016-32929,21.12.2015,podání žádosti o úplný průzkum
2016-32929,28.06.2017,zveřejnění PV
2016-32929,18.04.2018,publikace udělení patentu
2016-32929,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32954,21.12.2015,podání přihlášky
2016-32954,21.12.2015,podání žádosti o úplný průzkum
2016-32954,28.06.2017,zveřejnění PV
2016-32954,18.04.2018,publikace udělení patentu
2016-32954,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32996,21.12.2015,podání přihlášky
2016-32996,21.12.2015,podání žádosti o úplný průzkum
2016-32996,28.06.2017,zveřejnění PV
2016-32996,18.04.2018,publikace udělení patentu
2016-32996,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32997,21.12.2015,podání přihlášky
2016-32997,21.12.2015,podání žádosti o úplný průzkum
2016-32997,28.06.2017,zveřejnění PV
2016-32997,18.04.2018,publikace udělení patentu
2016-32997,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33018,21.12.2015,podání přihlášky
2016-33018,21.12.2015,podání žádosti o úplný průzkum
2016-33018,28.06.2017,zveřejnění PV
2016-33018,18.04.2018,publikace udělení patentu
2016-33018,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33106,21.12.2015,podání přihlášky
2016-33106,21.12.2015,podání žádosti o úplný průzkum
2016-33106,28.06.2017,zveřejnění PV
2016-33106,18.04.2018,publikace udělení patentu
2016-33106,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33109,21.12.2015,podání přihlášky
2016-33109,21.12.2015,podání žádosti o úplný průzkum
2016-33109,28.06.2017,zveřejnění PV
2016-33109,18.04.2018,publikace udělení patentu
2016-33109,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33111,21.12.2015,podání přihlášky
2016-33111,21.12.2015,podání žádosti o úplný průzkum
2016-33111,28.06.2017,zveřejnění PV
2016-33111,18.04.2018,publikace udělení patentu
2016-33111,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33145,21.12.2015,podání přihlášky
2016-33145,21.12.2015,podání žádosti o úplný průzkum
2016-33145,28.06.2017,zveřejnění PV
2016-33145,18.04.2018,publikace udělení patentu
2016-33145,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33196,21.12.2015,podání přihlášky
2016-33196,21.12.2015,podání žádosti o úplný průzkum
2016-33196,28.06.2017,zveřejnění PV
2016-33196,18.04.2018,publikace udělení patentu
2016-33196,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33208,21.12.2015,podání přihlášky
2016-33208,21.12.2015,podání žádosti o úplný průzkum
2016-33208,28.06.2017,zveřejnění PV
2016-33208,18.04.2018,publikace udělení patentu
2016-33208,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33226,21.12.2015,podání přihlášky
2016-33226,21.12.2015,podání žádosti o úplný průzkum
2016-33226,28.06.2017,zveřejnění PV
2016-33226,18.04.2018,publikace udělení patentu
2016-33226,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33238,21.12.2015,podání přihlášky
2016-33238,21.12.2015,podání žádosti o úplný průzkum
2016-33238,28.06.2017,zveřejnění PV
2016-33238,18.04.2018,publikace udělení patentu
2016-33238,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33334,21.12.2015,podání přihlášky
2017-33334,21.12.2015,podání žádosti o úplný průzkum
2017-33334,28.06.2017,zveřejnění PV
2017-33334,18.04.2018,publikace udělení patentu
2017-33334,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33346,21.12.2015,podání přihlášky
2017-33346,21.12.2015,podání žádosti o úplný průzkum
2017-33346,28.06.2017,zveřejnění PV
2017-33346,18.04.2018,publikace udělení patentu
2017-33346,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33347,21.12.2015,podání přihlášky
2017-33347,21.12.2015,podání žádosti o úplný průzkum
2017-33347,28.06.2017,zveřejnění PV
2017-33347,18.04.2018,publikace udělení patentu
2017-33347,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33348,21.12.2015,podání přihlášky
2017-33348,21.12.2015,podání žádosti o úplný průzkum
2017-33348,28.06.2017,zveřejnění PV
2017-33348,18.04.2018,publikace udělení patentu
2017-33348,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33421,21.12.2015,podání přihlášky
2017-33421,21.12.2015,podání žádosti o úplný průzkum
2017-33421,28.06.2017,zveřejnění PV
2017-33421,18.04.2018,publikace udělení patentu
2017-33421,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33438,21.12.2015,podání přihlášky
2017-33438,21.12.2015,podání žádosti o úplný průzkum
2017-33438,28.06.2017,zveřejnění PV
2017-33438,18.04.2018,publikace udělení patentu
2017-33438,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33528,21.12.2015,podání přihlášky
2017-33528,21.12.2015,podání žádosti o úplný průzkum
2017-33528,28.06.2017,zveřejnění PV
2017-33528,18.04.2018,publikace udělení patentu
2017-33528,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33562,21.12.2015,podání přihlášky
2017-33562,21.12.2015,podání žádosti o úplný průzkum
2017-33562,28.06.2017,zveřejnění PV
2017-33562,18.04.2018,publikace udělení patentu
2017-33562,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33656,21.12.2015,podání přihlášky
2017-33656,21.12.2015,podání žádosti o úplný průzkum
2017-33656,28.06.2017,zveřejnění PV
2017-33656,18.04.2018,publikace udělení patentu
2017-33656,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33958,21.12.2015,podání přihlášky
2017-33958,21.12.2015,podání žádosti o úplný průzkum
2017-33958,28.06.2017,zveřejnění PV
2017-33958,18.04.2018,publikace udělení patentu
2017-33958,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34067,21.12.2015,podání přihlášky
2017-34067,21.12.2015,podání žádosti o úplný průzkum
2017-34067,28.06.2017,zveřejnění PV
2017-34067,18.04.2018,publikace udělení patentu
2017-34067,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34084,21.12.2015,podání přihlášky
2017-34084,21.12.2015,podání žádosti o úplný průzkum
2017-34084,28.06.2017,zveřejnění PV
2017-34084,18.04.2018,publikace udělení patentu
2017-34084,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34086,21.12.2015,podání přihlášky
2017-34086,21.12.2015,podání žádosti o úplný průzkum
2017-34086,28.06.2017,zveřejnění PV
2017-34086,18.04.2018,publikace udělení patentu
2017-34086,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34090,21.12.2015,podání přihlášky
2017-34090,21.12.2015,podání žádosti o úplný průzkum
2017-34090,28.06.2017,zveřejnění PV
2017-34090,18.04.2018,publikace udělení patentu
2017-34090,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34092,21.12.2015,podání přihlášky
2017-34092,21.12.2015,podání žádosti o úplný průzkum
2017-34092,28.06.2017,zveřejnění PV
2017-34092,18.04.2018,publikace udělení patentu
2017-34092,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34111,21.12.2015,podání přihlášky
2017-34111,21.12.2015,podání žádosti o úplný průzkum
2017-34111,28.06.2017,zveřejnění PV
2017-34111,18.04.2018,publikace udělení patentu
2017-34111,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34159,21.12.2015,podání přihlášky
2017-34159,21.12.2015,podání žádosti o úplný průzkum
2017-34159,28.06.2017,zveřejnění PV
2017-34159,18.04.2018,publikace udělení patentu
2017-34159,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34160,21.12.2015,podání přihlášky
2017-34160,21.12.2015,podání žádosti o úplný průzkum
2017-34160,28.06.2017,zveřejnění PV
2017-34160,18.04.2018,publikace udělení patentu
2017-34160,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34225,21.12.2015,podání přihlášky
2017-34225,21.12.2015,podání žádosti o úplný průzkum
2017-34225,28.06.2017,zveřejnění PV
2017-34225,18.04.2018,publikace udělení patentu
2017-34225,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34271,21.12.2015,podání přihlášky
2017-34271,21.12.2015,podání žádosti o úplný průzkum
2017-34271,28.06.2017,zveřejnění PV
2017-34271,18.04.2018,publikace udělení patentu
2017-34271,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34272,21.12.2015,podání přihlášky
2017-34272,21.12.2015,podání žádosti o úplný průzkum
2017-34272,28.06.2017,zveřejnění PV
2017-34272,18.04.2018,publikace udělení patentu
2017-34272,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34489,21.12.2015,podání přihlášky
2017-34489,21.12.2015,podání žádosti o úplný průzkum
2017-34489,28.06.2017,zveřejnění PV
2017-34489,18.04.2018,publikace udělení patentu
2017-34489,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34514,21.12.2015,podání přihlášky
2017-34514,21.12.2015,podání žádosti o úplný průzkum
2017-34514,28.06.2017,zveřejnění PV
2017-34514,18.04.2018,publikace udělení patentu
2017-34514,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34516,21.12.2015,podání přihlášky
2017-34516,21.12.2015,podání žádosti o úplný průzkum
2017-34516,28.06.2017,zveřejnění PV
2017-34516,18.04.2018,publikace udělení patentu
2017-34516,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34536,21.12.2015,podání přihlášky
2017-34536,21.12.2015,podání žádosti o úplný průzkum
2017-34536,28.06.2017,zveřejnění PV
2017-34536,18.04.2018,publikace udělení patentu
2017-34536,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34538,21.12.2015,podání přihlášky
2017-34538,21.12.2015,podání žádosti o úplný průzkum
2017-34538,28.06.2017,zveřejnění PV
2017-34538,18.04.2018,publikace udělení patentu
2017-34538,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34541,21.12.2015,podání přihlášky
2017-34541,21.12.2015,podání žádosti o úplný průzkum
2017-34541,28.06.2017,zveřejnění PV
2017-34541,18.04.2018,publikace udělení patentu
2017-34541,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34542,21.12.2015,podání přihlášky
2017-34542,21.12.2015,podání žádosti o úplný průzkum
2017-34542,28.06.2017,zveřejnění PV
2017-34542,18.04.2018,publikace udělení patentu
2017-34542,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34566,21.12.2015,podání přihlášky
2018-34566,21.12.2015,podání žádosti o úplný průzkum
2018-34566,28.06.2017,zveřejnění PV
2018-34566,18.04.2018,publikace udělení patentu
2018-34566,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34589,21.12.2015,podání přihlášky
2018-34589,21.12.2015,podání žádosti o úplný průzkum
2018-34589,28.06.2017,zveřejnění PV
2018-34589,18.04.2018,publikace udělení patentu
2018-34589,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34650,21.12.2015,podání přihlášky
2018-34650,21.12.2015,podání žádosti o úplný průzkum
2018-34650,28.06.2017,zveřejnění PV
2018-34650,18.04.2018,publikace udělení patentu
2018-34650,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34684,21.12.2015,podání přihlášky
2018-34684,21.12.2015,podání žádosti o úplný průzkum
2018-34684,28.06.2017,zveřejnění PV
2018-34684,18.04.2018,publikace udělení patentu
2018-34684,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34713,21.12.2015,podání přihlášky
2018-34713,21.12.2015,podání žádosti o úplný průzkum
2018-34713,28.06.2017,zveřejnění PV
2018-34713,18.04.2018,publikace udělení patentu
2018-34713,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34781,21.12.2015,podání přihlášky
2018-34781,21.12.2015,podání žádosti o úplný průzkum
2018-34781,28.06.2017,zveřejnění PV
2018-34781,18.04.2018,publikace udělení patentu
2018-34781,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34783,21.12.2015,podání přihlášky
2018-34783,21.12.2015,podání žádosti o úplný průzkum
2018-34783,28.06.2017,zveřejnění PV
2018-34783,18.04.2018,publikace udělení patentu
2018-34783,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34800,21.12.2015,podání přihlášky
2018-34800,21.12.2015,podání žádosti o úplný průzkum
2018-34800,28.06.2017,zveřejnění PV
2018-34800,18.04.2018,publikace udělení patentu
2018-34800,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34871,21.12.2015,podání přihlášky
2018-34871,21.12.2015,podání žádosti o úplný průzkum
2018-34871,28.06.2017,zveřejnění PV
2018-34871,18.04.2018,publikace udělení patentu
2018-34871,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34872,21.12.2015,podání přihlášky
2018-34872,21.12.2015,podání žádosti o úplný průzkum
2018-34872,28.06.2017,zveřejnění PV
2018-34872,18.04.2018,publikace udělení patentu
2018-34872,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
